Azure Service,Pattern Name,Scenario Type,Diagram Rank,Diagram Available,Microsoft Learn Diagram Title,Microsoft Learn Page URL,Direct Diagram Image URL,Architecture Center URL,Best Fit Summary,Inference Required,Notes,Date Reviewed
Azure App Service,Multi-region App Service DR,Regional DR,1,Yes,Multi-region App Service app approaches for disaster recovery,https://learn.microsoft.com/en-us/azure/architecture/web-apps/guides/multi-region-app-service/multi-region-app-service,,https://learn.microsoft.com/en-us/azure/architecture/web-apps/guides/multi-region-app-service/multi-region-app-service,Best official App Service DR pattern page for RTO/RPO-driven decisions.,No,Includes official architecture guidance for multiple App Service DR approaches.,2026-03-25
Azure Storage Account,Storage redundancy patterns,HA and DR,1,Yes,Azure Storage redundancy,https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy,,https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy,"Contains Microsoft diagrams for LRS, GRS, and related redundancy models.",No,"Useful for architecture references even though it is product documentation, not Architecture Center.",2026-03-25
Azure Front Door,Global routing redundancy,Regional DR / ingress redundancy,1,Yes,Global routing redundancy for mission-critical web applications,https://learn.microsoft.com/en-us/azure/architecture/guide/networking/global-web-applications/overview,,https://learn.microsoft.com/en-us/azure/architecture/guide/networking/global-web-applications/overview,Best Microsoft architecture reference for Front Door plus alternate ingress DR.,No,Useful when business continuity requires redundancy beyond Front Door itself.,2026-03-27
API Management,Multi-region API Management deployment,Regional DR,1,Yes,Reliability in Azure API Management,https://learn.microsoft.com/en-us/azure/api-management/high-availability,,https://learn.microsoft.com/en-us/azure/api-management/high-availability,Best official source for APIM tier-aware HA and DR behavior.,No,Diagram and explanations are embedded in the reliability guide.,2026-03-27
Azure VPN Gateway,Highly available gateway connectivity,HA / regional connectivity design,1,Yes,Design highly available gateway connectivity for cross-premises and VNet-to-VNet connections,https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-highlyavailable,,https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-highlyavailable,Best official diagram set for VPN active-active and multi-device resilience patterns.,No,Useful for both same-region HA and broader network DR design.,2026-03-27
Azure Virtual WAN,Virtual WAN landing zone topology,Regional DR / transit network design,1,Yes,Virtual WAN network topology in an Azure landing zone,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/virtual-wan-network-topology,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/virtual-wan-network-topology,Best official reference for a multi-region Virtual WAN topology.,No,Useful for hub redundancy and broader network architecture.,2026-03-27
Microsoft Fabric,Experience-specific DR guidance,Regional DR,1,Yes,Experience-specific disaster recovery guidance,https://learn.microsoft.com/en-us/fabric/security/experience-specific-guidance,,https://learn.microsoft.com/en-us/fabric/security/experience-specific-guidance,Best official DR guidance for Fabric experience limitations and recovery actions.,No,Pairs with Fabric reliability guidance.,2026-03-27
Dynamics 365 (D365),Dynamics 365 SaaS BCDR,HA / DR,1,Yes,Business continuity and disaster recovery for Dynamics 365 SaaS apps,https://learn.microsoft.com/en-us/power-platform/admin/business-continuity-disaster-recovery,,https://learn.microsoft.com/en-us/power-platform/admin/business-continuity-disaster-recovery,Best official Dynamics continuity reference with architecture diagram and failover behavior.,No,Use app-specific caveats when narrowing guidance.,2026-03-27
Azure AI Services,Baseline AI workload regional resiliency gap,Regional DR inferred pattern,1,Yes,Baseline Azure AI Foundry chat reference architecture,https://learn.microsoft.com/en-us/azure/architecture/ai-ml/architecture/baseline-openai-e2e-chat?source=recommendations,,https://learn.microsoft.com/en-us/azure/architecture/ai-ml/architecture/baseline-openai-e2e-chat?source=recommendations,Best official source showing why a single-region AI baseline is not DR-ready.,Yes,Marked inferred because umbrella AI services guidance is incomplete.,2026-03-27
Azure Kubernetes Service (AKS),AKS HA and DR overview,Regional DR,1,Yes,Reliability in Azure Kubernetes Service (AKS),https://learn.microsoft.com/en-us/azure/reliability/reliability-aks,,https://learn.microsoft.com/en-us/azure/reliability/reliability-aks,Best official reliability reference for AKS zonal and regional design.,No,Use linked HA/DR overview from the reliability guide for deeper implementation detail.,2026-03-28
Azure Functions,Multi-region Functions patterns,Regional DR,1,Yes,Reliability in Azure Functions,https://learn.microsoft.com/en-gb/azure/reliability/reliability-functions,,https://learn.microsoft.com/en-gb/azure/reliability/reliability-functions,Best official Functions source covering trigger-specific active-active and active-passive patterns.,No,Includes Front Door and Event Hubs topology diagrams.,2026-03-28
Azure Key Vault,Key Vault paired-region failover,Regional DR,1,Yes,Reliability in Azure Key Vault,https://learn.microsoft.com/en-us/azure/reliability/reliability-key-vault,,https://learn.microsoft.com/en-us/azure/reliability/reliability-key-vault,Best official Key Vault reliability and failover guidance.,No,Covers both built-in failover and custom multi-region patterns.,2026-03-28
Azure OpenAI,Azure OpenAI BCDR topology,Regional DR inferred from official guidance,1,Yes,Business Continuity and Disaster Recovery (BCDR) considerations with Azure OpenAI in Azure AI Foundry Models,https://learn.microsoft.com/azure/ai-services/openai/how-to/business-continuity-disaster-recovery,,https://learn.microsoft.com/azure/ai-services/openai/how-to/business-continuity-disaster-recovery,Best official Azure OpenAI DR guidance for dual-region resource and gateway design.,No,Portal-version-specific but currently the strongest official BCDR source.,2026-03-28
